run,epoch,lr,bs,loss,cw,balance,arch,seed,eval_loss,macro_f1,accuracy,r_supp,r_neut,r_opp,cm
full_frz10,5.0,1e-05,32,ce,effnum,over,full,42,0.7783235311508179,0.7215777276451174,0.8684458398744113,0.5629139072847682,0.9280215550423403,0.6491228070175439,"[[170, 129, 3], [87, 2411, 100], [11, 89, 185]]"
full_frz8,0,1e-05,32,ce,effnum,over,full,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
full_frz8,1.0,1e-05,32,ce,effnum,over,full,42,0.5691829323768616,0.6379448222434495,0.7940345368916798,0.6357615894039735,0.8244803695150116,0.6842105263157895,"[[192, 66, 44], [203, 2142, 253], [24, 66, 195]]"
full_frz8,2.0,1e-05,32,ce,effnum,over,full,42,0.5656360983848572,0.6969378203648272,0.8405023547880691,0.6026490066225165,0.8814472671285605,0.7192982456140351,"[[182, 106, 14], [107, 2290, 201], [11, 69, 205]]"
full_frz8,3.0,1e-05,32,ce,effnum,over,full,42,0.6662043929100037,0.6675190254939531,0.8411302982731554,0.44370860927152317,0.9053117782909931,0.6771929824561403,"[[134, 153, 15], [79, 2352, 167], [10, 82, 193]]"
full_frz8,4.0,1e-05,32,ce,effnum,over,full,42,0.8615368604660034,0.6756878219970893,0.8514913657770801,0.4602649006622517,0.9226327944572749,0.6175438596491228,"[[139, 147, 16], [73, 2397, 128], [10, 99, 176]]"
full_frz8,5.0,1e-05,32,ce,effnum,over,full,42,1.0242871046066284,0.66253680737915,0.8549450549450549,0.40066225165562913,0.9414934565050038,0.5473684210526316,"[[121, 174, 7], [57, 2446, 95], [7, 122, 156]]"
full_frz8,5.0,1e-05,32,ce,effnum,over,full,42,0.5656360983848572,0.6969378203648272,0.8405023547880691,0.6026490066225165,0.8814472671285605,0.7192982456140351,"[[182, 106, 14], [107, 2290, 201], [11, 69, 205]]"
large_tgall,0,0.0002,16,ce,effnum,over,lora,42,0.5008003115653992,0.7181501985377222,0.8734693877551021,0.5960264900662252,0.9430331023864511,0.5333333333333333,"[[180, 122, 0], [81, 2450, 67], [13, 120, 152]]"
large_tgall,1.0,0.0002,16,ce,effnum,over,lora,42,0.4214097857475281,0.7685813520255124,0.8781789638932496,0.7715231788079471,0.9056966897613549,0.7403508771929824,"[[233, 67, 2], [131, 2353, 114], [9, 65, 211]]"
